Lib = 0.3.0 SN = 4D02-0001-0036-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Range [cm],Pitch [deg],Roll [deg],
2021/10/18 19:45:24,990.29,33.21,48.45,49.00,4.55,375.00,46.47,-34.82,
2021/10/18 19:50:23,990.16,38.01,44.75,45.50,4.65,372.00,46.69,-34.48,
2021/10/18 19:55:23,990.16,38.99,44.18,44.75,4.65,368.00,47.05,-34.21,
2021/10/18 20:00:23,990.09,39.83,43.53,44.00,4.48,366.00,46.59,-34.41,
2021/10/18 20:05:23,990.12,42.84,41.59,41.75,4.65,377.00,47.54,-34.44,
2021/10/18 20:10:23,990.17,41.38,42.26,42.75,4.64,371.00,46.43,-34.72,
2021/10/18 20:15:23,990.11,39.40,43.23,43.75,4.62,364.00,46.96,-34.32,
2021/10/18 20:20:23,990.06,37.72,44.51,45.00,4.64,374.00,46.79,-34.71,
2021/10/18 20:25:23,989.98,38.34,43.96,44.25,4.51,368.00,46.77,-34.55,
2021/10/18 20:30:23,989.92,43.66,40.02,40.25,4.65,374.00,46.72,-34.83,
2021/10/18 20:35:23,989.94,53.10,34.37,34.50,4.60,375.00,46.60,-34.32,
2021/10/18 20:40:23,990.01,54.76,33.17,33.75,4.63,374.00,46.55,-34.38,
2021/10/18 20:45:23,989.96,55.30,32.73,33.25,4.50,374.00,47.38,-34.50,
2021/10/18 20:50:23,990.11,53.76,33.40,34.00,4.63,374.00,46.56,-34.43,
2021/10/18 20:55:23,990.05,50.24,35.01,36.00,4.63,364.00,47.63,-34.26,
2021/10/18 21:00:23,989.97,51.98,34.18,35.00,4.63,372.00,47.24,-34.60,
2021/10/18 21:05:23,990.00,55.83,31.80,32.00,4.64,370.00,47.76,-34.94,
2021/10/18 21:10:23,990.03,58.92,30.12,30.50,4.63,367.00,47.33,-34.32,
2021/10/18 21:15:23,990.00,62.91,28.16,28.50,4.63,369.00,47.46,-34.32,
2021/10/18 21:20:23,990.03,65.59,26.70,27.00,4.62,367.00,47.70,-34.71,
2021/10/18 21:25:23,990.03,67.51,25.65,25.75,4.62,370.00,47.28,-34.44,
2021/10/18 21:30:23,990.01,68.92,24.80,25.00,4.62,366.00,47.32,-34.42,
2021/10/18 21:35:23,989.97,70.22,24.08,24.50,4.62,374.00,46.77,-34.38,
2021/10/18 21:40:23,989.99,70.95,23.62,24.00,4.58,369.00,47.51,-34.49,
2021/10/18 21:45:23,989.99,71.64,23.11,23.50,4.63,370.00,47.46,-33.69,
2021/10/18 21:50:23,989.97,72.09,22.72,23.00,4.60,363.00,46.75,-34.01,
2021/10/18 21:55:23,989.98,72.48,22.39,22.75,4.63,377.00,48.50,-34.49,
2021/10/18 22:00:23,990.08,72.67,21.96,22.25,4.63,377.00,46.54,-34.21,
2021/10/18 22:05:23,990.12,73.43,21.60,22.00,4.62,370.00,47.30,-34.54,
2021/10/18 22:10:23,990.12,73.47,21.37,21.75,4.63,372.00,47.38,-34.19,
2021/10/18 22:15:23,990.14,73.72,20.95,21.25,4.63,374.00,47.99,-34.24,
2021/10/18 22:20:23,990.20,73.96,20.43,20.75,4.63,369.00,47.59,-34.48,
2021/10/18 22:25:23,990.17,74.42,19.93,20.25,4.62,364.00,47.70,-34.14,
2021/10/18 22:30:23,990.13,75.07,19.55,19.75,4.60,358.00,47.69,-34.09,
2021/10/18 22:35:23,990.07,75.14,19.14,19.50,4.61,369.00,47.72,-33.79,
2021/10/18 22:40:23,990.09,75.52,18.73,19.00,4.62,374.00,47.44,-34.55,
2021/10/18 22:45:23,990.03,75.82,18.21,18.50,4.62,371.00,47.53,-33.77,
2021/10/18 22:50:23,990.11,76.34,17.73,18.00,4.63,379.00,48.22,-33.89,
2021/10/18 22:55:23,990.13,76.68,17.27,17.50,4.62,371.00,47.41,-33.80,
2021/10/18 23:00:23,990.17,77.03,16.84,17.25,4.62,370.00,47.91,-34.30,
2021/10/18 23:05:23,990.13,77.34,16.40,16.75,4.62,372.00,48.29,-34.21,
2021/10/18 23:10:23,990.21,77.67,15.98,16.25,4.61,371.00,48.34,-33.91,
2021/10/18 23:15:23,990.25,77.85,15.53,16.00,4.61,371.00,48.32,-34.05,
2021/10/18 23:20:23,990.22,78.13,15.02,15.25,4.62,372.00,47.74,-33.95,
2021/10/18 23:25:23,990.22,78.42,14.50,14.75,4.63,372.00,47.71,-34.08,
2021/10/18 23:30:23,990.23,78.76,14.00,14.50,4.62,368.00,47.73,-34.02,
2021/10/18 23:35:23,990.31,79.10,13.55,14.00,4.62,364.00,48.33,-33.91,
2021/10/18 23:40:23,990.36,79.30,13.11,13.50,4.61,372.00,48.35,-33.76,
2021/10/18 23:45:23,990.32,79.52,12.69,13.00,4.62,372.00,48.30,-34.21,
2021/10/18 23:50:23,990.36,79.77,12.32,12.75,4.61,370.00,48.21,-33.74,
2021/10/18 23:55:23,990.47,79.86,12.00,12.50,4.61,372.00,48.23,-33.79,
2021/10/19 00:00:23,990.55,79.98,11.69,12.00,4.63,367.00,47.77,-33.42,
2021/10/19 00:05:23,990.60,80.07,11.41,11.75,4.58,371.00,48.22,-33.74,
2021/10/19 00:10:23,990.58,80.06,11.14,11.50,4.61,370.00,47.93,-33.25,
2021/10/19 00:15:23,990.53,80.08,10.84,11.25,4.54,374.00,47.57,-33.57,
2021/10/19 00:20:23,990.53,80.17,10.56,11.00,4.61,370.00,48.55,-33.40,
