Lib = 0.3.0 SN = 4D02-0001-0036-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Range [cm],Pitch [deg],Roll [deg],
2021/08/17 18:13:06,990.44,17.00,66.42,67.25,4.80,375.00,91.11,0.22,
2021/08/17 18:14:00,990.42,16.96,66.58,67.50,4.82,375.00,91.19,0.23,
2021/08/17 18:15:00,990.44,16.98,66.68,67.50,4.82,368.00,90.51,0.11,
2021/08/17 18:16:00,990.35,16.99,66.78,67.75,4.80,372.00,90.93,0.78,
2021/08/17 18:17:00,990.35,16.98,66.93,67.75,4.82,375.00,90.56,0.34,
2021/08/17 18:18:00,990.35,16.93,67.07,68.00,4.82,374.00,90.68,0.40,
2021/08/17 18:19:00,990.37,16.95,67.09,67.75,4.82,374.00,90.43,0.61,
2021/08/17 18:20:00,990.28,16.95,67.16,68.00,4.82,370.00,91.57,0.11,
2021/08/17 18:21:00,990.29,16.95,67.22,68.00,4.69,372.00,90.16,0.28,
2021/08/17 18:22:00,990.31,16.98,67.29,68.25,4.82,367.00,90.57,0.63,
2021/08/17 18:23:00,990.32,16.98,67.42,68.25,4.82,370.00,90.85,0.23,
2021/08/17 18:24:00,990.33,16.98,67.55,68.25,4.69,361.00,90.61,0.28,
2021/08/17 18:25:00,990.29,16.95,67.59,68.25,4.82,368.00,90.43,0.22,
2021/08/17 18:26:00,990.33,16.98,67.56,68.25,4.81,369.00,90.78,0.62,
2021/08/17 18:27:00,990.24,17.04,67.51,68.25,4.81,372.00,90.68,0.57,
2021/08/17 18:28:00,990.28,17.09,67.47,68.25,4.80,372.00,90.50,0.73,
2021/08/17 18:29:00,990.24,17.11,67.48,68.25,4.81,372.00,90.88,0.84,
2021/08/17 18:30:00,990.25,17.13,67.54,68.50,4.82,368.00,91.07,0.51,
2021/08/17 18:31:00,990.28,17.13,67.56,68.25,4.82,374.00,90.90,0.57,
2021/08/17 18:32:00,990.15,17.14,67.55,68.50,4.71,374.00,90.60,-0.17,
2021/08/17 18:33:00,990.15,17.17,67.58,68.25,4.70,368.00,90.35,0.29,
2021/08/17 18:34:00,990.12,17.17,67.65,68.50,4.82,368.00,90.62,0.23,
2021/08/17 18:35:00,990.17,17.14,67.79,68.50,4.82,366.00,91.20,0.86,
2021/08/17 18:36:00,990.08,17.14,67.84,68.50,4.82,375.00,90.61,0.73,
2021/08/17 18:37:00,990.14,17.13,67.90,68.75,4.82,366.00,90.38,0.17,
2021/08/17 18:38:00,990.11,17.15,67.97,68.75,4.82,375.00,90.44,0.22,
2021/08/17 18:39:00,990.12,17.14,68.01,69.00,4.71,372.00,91.41,0.17,
2021/08/17 18:40:00,990.08,17.18,68.02,69.00,4.82,372.00,91.28,0.28,
2021/08/17 18:41:00,990.10,17.22,68.02,68.75,4.82,374.00,90.17,0.57,
2021/08/17 18:42:00,990.09,17.20,68.13,68.75,4.69,372.00,90.56,0.29,
2021/08/17 18:43:00,990.12,17.22,68.13,69.00,4.80,367.00,90.63,0.23,
2021/08/17 18:44:00,990.15,17.23,68.11,69.00,4.82,377.00,90.66,0.67,
2021/08/17 18:45:00,990.09,17.29,68.03,68.75,4.82,372.00,90.84,0.34,
2021/08/17 18:46:00,990.04,17.32,68.07,68.75,4.82,368.00,91.29,0.11,
2021/08/17 18:47:00,990.08,17.31,68.15,69.00,4.81,375.00,90.67,0.45,
2021/08/17 18:48:00,990.05,17.29,68.17,69.00,4.82,366.00,90.33,0.73,
2021/08/17 18:49:00,990.04,17.34,68.14,69.00,4.82,372.00,91.28,0.11,
2021/08/17 18:50:00,989.97,19.67,65.53,66.00,4.81,375.00,90.44,0.51,
2021/08/17 18:51:00,989.97,18.98,66.18,67.00,4.83,371.00,90.38,0.17,
2021/08/17 18:52:00,989.89,18.78,66.36,67.25,4.80,367.00,91.05,0.84,
2021/08/17 18:53:00,989.90,18.56,66.57,67.50,4.82,374.00,90.33,-0.06,
2021/08/17 18:54:00,989.98,18.30,66.82,67.75,4.82,371.00,91.78,0.81,
2021/08/17 18:55:00,989.92,18.48,66.54,67.25,4.82,368.00,90.87,0.06,
2021/08/17 18:56:00,989.91,18.21,66.75,67.50,4.82,374.00,90.39,0.86,
2021/08/17 18:57:00,989.82,20.26,64.50,64.75,4.82,374.00,91.13,0.91,
2021/08/17 18:58:00,989.74,22.65,62.01,62.00,4.82,375.00,90.69,0.58,
2021/08/17 18:59:00,989.77,24.04,60.48,60.75,4.80,369.00,90.87,0.61,
2021/08/17 19:00:00,989.64,25.62,58.87,58.75,4.82,368.00,90.65,-0.11,
2021/08/17 19:01:00,989.59,27.92,56.71,56.75,4.82,364.00,91.10,0.52,
2021/08/17 19:02:00,989.67,27.00,57.16,57.50,4.82,371.00,91.34,0.28,
2021/08/17 19:03:00,989.75,28.05,56.12,56.25,4.81,374.00,91.39,0.56,
2021/08/17 19:04:00,989.70,29.26,54.93,55.00,4.82,377.00,91.22,0.50,
2021/08/17 19:05:00,989.78,27.28,56.26,56.75,4.69,375.00,91.15,0.94,
2021/08/17 19:06:01,989.68,25.37,57.83,58.50,4.80,369.00,90.61,0.45,
2021/08/17 19:07:00,989.71,24.14,59.02,59.75,4.81,374.00,91.34,0.17,
2021/08/17 19:08:00,989.75,23.29,59.88,60.75,4.82,375.00,90.63,0.23,
2021/08/17 19:09:00,989.78,22.30,60.91,61.50,4.82,376.00,90.51,0.63,
2021/08/17 19:10:00,989.82,21.54,61.82,62.50,4.82,370.00,90.63,0.46,
2021/08/17 19:11:00,989.81,20.65,62.81,63.75,4.82,367.00,90.66,0.72,
2021/08/17 19:12:00,989.84,20.07,63.54,64.50,4.82,371.00,91.10,0.55,
2021/08/17 19:13:00,989.79,20.70,62.97,63.75,4.82,369.00,91.13,0.28,
2021/08/17 19:14:00,989.78,19.94,63.83,64.50,4.82,370.00,90.65,0.44,
2021/08/17 19:15:00,989.81,19.51,64.43,65.25,4.81,376.00,89.99,0.17,
2021/08/17 19:16:00,989.82,19.28,64.84,65.50,4.82,369.00,90.16,0.28,
2021/08/17 19:17:00,989.78,19.05,65.15,66.00,4.82,372.00,91.39,0.78,
2021/08/17 19:18:00,989.89,18.82,65.50,66.25,4.69,368.00,90.61,0.67,
2021/08/17 19:19:00,989.83,18.61,65.84,66.75,4.81,368.00,91.35,0.74,
2021/08/17 19:20:00,989.91,18.41,66.15,67.25,4.82,369.00,90.69,0.41,
2021/08/17 19:21:00,989.82,18.23,66.41,67.25,4.82,377.00,90.28,0.58,
2021/08/17 19:22:00,989.80,18.12,66.62,67.50,4.82,374.00,90.44,0.39,
2021/08/17 19:23:00,989.90,17.96,66.93,68.00,4.82,374.00,90.55,0.73,
2021/08/17 19:24:00,989.85,17.85,67.10,68.00,4.69,372.00,90.44,0.78,
2021/08/17 19:25:00,989.83,17.85,67.13,68.00,4.82,376.00,90.65,0.33,
2021/08/17 19:26:00,989.83,17.84,67.15,68.25,4.77,374.00,90.85,0.43,
2021/08/17 19:27:00,989.83,17.89,67.11,68.00,4.82,366.00,90.27,0.45,
2021/08/17 19:28:00,989.77,17.99,67.05,68.00,4.70,368.00,90.37,0.66,
2021/08/17 19:29:00,989.81,18.01,67.11,68.00,4.82,372.00,90.61,0.17,
2021/08/17 19:30:00,989.85,17.96,67.26,68.25,4.82,368.00,90.26,0.61,
2021/08/17 19:31:00,989.88,17.92,67.39,68.50,4.81,374.00,90.22,0.45,
2021/08/17 19:32:00,989.83,17.83,67.49,68.50,4.79,375.00,90.05,0.40,
2021/08/17 19:33:00,989.78,17.81,67.47,68.50,4.82,370.00,91.36,0.74,
2021/08/17 19:34:00,989.72,18.19,67.08,68.00,4.82,374.00,91.11,0.28,
2021/08/17 19:35:00,989.76,18.18,67.12,68.00,4.81,369.00,90.56,0.68,
2021/08/17 19:36:00,989.71,18.56,66.67,67.50,4.79,369.00,90.54,0.50,
2021/08/17 19:37:00,989.67,18.51,66.73,67.75,4.82,374.00,90.49,0.17,
2021/08/17 19:38:00,989.72,18.53,66.71,67.75,4.82,376.00,90.97,0.34,
2021/08/17 19:39:00,989.63,18.64,66.50,67.25,4.82,368.00,89.77,0.33,
2021/08/17 19:40:00,989.64,18.74,66.33,67.25,4.81,372.00,91.30,0.85,
2021/08/17 19:41:00,989.63,18.76,66.31,67.25,4.82,370.00,90.27,0.45,
2021/08/17 19:42:00,989.64,18.80,66.31,67.25,4.82,364.00,91.17,0.96,
2021/08/17 19:43:00,989.61,18.80,66.36,67.25,4.82,371.00,90.73,0.62,
2021/08/17 19:44:00,989.72,18.79,66.41,67.25,4.81,375.00,90.71,0.06,
2021/08/17 19:45:00,989.58,19.46,65.65,66.50,4.69,375.00,90.67,0.45,
2021/08/17 19:46:00,989.56,19.35,65.65,66.25,4.71,371.00,90.49,0.22,
2021/08/17 19:47:00,989.54,19.71,65.20,66.00,4.82,376.00,90.33,0.45,
2021/08/17 19:48:00,989.56,19.68,65.20,66.00,4.82,374.00,90.60,0.55,
2021/08/17 19:49:00,989.52,19.69,65.15,66.00,4.82,375.00,90.61,0.23,
2021/08/17 19:50:00,989.36,20.85,63.92,64.50,4.82,371.00,91.48,0.23,
2021/08/17 19:51:00,989.29,22.89,61.83,62.00,4.81,375.00,90.16,-0.11,
2021/08/17 19:52:00,989.14,25.51,59.25,59.25,4.82,359.00,90.99,0.28,
2021/08/17 19:53:00,989.17,27.91,57.03,57.00,4.81,374.00,91.03,0.44,
2021/08/17 19:54:00,989.16,27.30,57.31,57.50,4.82,367.00,91.09,0.29,
2021/08/17 19:55:00,989.18,26.20,58.18,58.50,4.82,375.00,91.13,0.22,
2021/08/17 19:56:00,989.10,25.14,59.07,59.50,4.79,369.00,90.16,0.56,
2021/08/17 19:57:00,989.14,23.93,60.09,60.75,4.82,372.00,90.55,0.78,
2021/08/17 19:58:00,989.17,22.97,60.96,61.75,4.82,371.00,90.16,0.34,
2021/08/17 19:59:00,989.08,22.21,61.68,62.50,4.82,371.00,91.20,0.40,
2021/08/17 20:00:00,989.18,21.62,62.28,63.00,4.82,370.00,91.27,0.67,
